id,class,order,family,species,iucn,criteria,population,systems,realm
56057615,Reptilia,Squamata,Liolaemidae,Liolaemus ditadai,DD,,Unknown,Terrestrial,Neotropical
56057741,Reptilia,Squamata,Liolaemidae,Liolaemus donosobarrosi,LC,,Unknown,Terrestrial,Neotropical
56057897,Reptilia,Squamata,Liolaemidae,Liolaemus dorbignyi,LC,,Stable,Terrestrial,Neotropical
56057954,Reptilia,Squamata,Liolaemidae,Liolaemus dumerili,LC,,Stable,Terrestrial,Neotropical
56058412,Reptilia,Squamata,Liolaemidae,Liolaemus eleodori,LC,,Unknown,Terrestrial,Neotropical
56058601,Reptilia,Squamata,Liolaemidae,Liolaemus elongatus,LC,,Stable,Terrestrial,Neotropical
56058825,Reptilia,Squamata,Liolaemidae,Liolaemus erguetae,LC,,Unknown,Terrestrial,Neotropical
56059145,Reptilia,Squamata,Liolaemidae,Liolaemus erroneus,DD,,Unknown,Terrestrial,Neotropical
56059651,Reptilia,Squamata,Liolaemidae,Liolaemus escarchadosi,LC,,Stable,Terrestrial,Neotropical
56059665,Reptilia,Squamata,Liolaemidae,Liolaemus espinozai,LC,,Unknown,Terrestrial,Neotropical
56059703,Reptilia,Squamata,Liolaemidae,Liolaemus exploratorum,DD,,Unknown,Terrestrial,Neotropical
56060171,Reptilia,Squamata,Liolaemidae,Liolaemus fabiani,EN,B1ab(iii),Unknown,Terrestrial,Neotropical
56060210,Reptilia,Squamata,Liolaemidae,Liolaemus famatinae,VU,D2,Stable,Terrestrial,Neotropical
56060266,Reptilia,Squamata,Liolaemidae,Liolaemus foxi,LC,,Stable,Terrestrial,Neotropical
56060499,Reptilia,Squamata,Liolaemidae,Liolaemus frassinettii,VU,D2,Stable,Terrestrial,Neotropical
56061164,Reptilia,Squamata,Liolaemidae,Liolaemus alticolor,LC,,Stable,Terrestrial,Neotropical
56062171,Reptilia,Squamata,Liolaemidae,Liolaemus goetschi,LC,,Stable,Terrestrial,Neotropical
56062203,Reptilia,Squamata,Liolaemidae,Liolaemus gracielae,LC,,Unknown,Terrestrial,Neotropical
56062407,Reptilia,Squamata,Liolaemidae,Liolaemus gracilis,LC,,Stable,Terrestrial,Neotropical
56062603,Reptilia,Squamata,Liolaemidae,Liolaemus griseus,DD,,Unknown,Terrestrial,Neotropical
56062626,Reptilia,Squamata,Liolaemidae,Liolaemus grosseorum,LC,,Unknown,Terrestrial,Neotropical
56062677,Reptilia,Squamata,Liolaemidae,Liolaemus gununakuna,LC,,Unknown,Terrestrial,Neotropical
56062717,Reptilia,Squamata,Liolaemidae,Liolaemus hajeki,LC,,Stable,Terrestrial,Neotropical
56062739,Reptilia,Squamata,Liolaemidae,Liolaemus halonastes,VU,D2,Unknown,Terrestrial,Neotropical
56062767,Reptilia,Squamata,Liolaemidae,Liolaemus hatcheri,LC,,Stable,Terrestrial,Neotropical
56062779,Reptilia,Squamata,Liolaemidae,Liolaemus heliodermis,LC,,Unknown,Terrestrial,Neotropical
56062792,Reptilia,Squamata,Liolaemidae,Liolaemus curicensis,LC,,Stable,Terrestrial,Neotropical
56062923,Reptilia,Squamata,Liolaemidae,Liolaemus hermannunezi,DD,,Unknown,Terrestrial,Neotropical
56062960,Reptilia,Squamata,Liolaemidae,Liolaemus huayra,LC,,Stable,Terrestrial,Neotropical
56062975,Reptilia,Squamata,Liolaemidae,Liolaemus inacayali,LC,,Stable,Terrestrial,Neotropical
